# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
18:29:17,672;20;000080FF396F1040
18:29:17,679;20;000080FF396F1040
18:29:17,686;20;000080FF396F1040
18:29:17,694;20;000080FE396F1040
18:29:17,701;20;000080FF396F1040
18:29:17,706;2C;FF0DD600FF0D0D01
18:29:17,707;28;FF170D001D290200
18:29:17,708;29;FF130D1023FF0100
18:29:17,709;20;000080FF396F1040
18:29:17,713;20;000080FF396F1040
18:29:17,718;0D;0000000000000000
18:29:17,719;20;000080FF396F1040
18:29:17,726;20;000080FF396F1040
18:29:17,733;20;000080FF396F1040
18:29:17,739;20;000080FF396F1040
18:29:17,746;20;000080FF396F1040
18:29:17,752;20;000080FF396F1040
18:29:17,759;20;000080FF396F1040
18:29:17,760;2B;FD7F0D00A0CF0100
18:29:17,761;2A;913FAD41E5130200
18:29:17,762;2D;1B00640AFF0D8C00
18:29:17,766;20;000080FF396F1040
18:29:17,767;0D;0000000000000000
18:29:17,773;20;000080FF396F1040
18:29:17,779;20;000080FF396F1040
18:29:17,786;20;000080FF396F1040
18:29:17,792;20;000080FF396F1040
18:29:17,799;20;000080FF396F1040
18:29:17,804;2C;FF0DDC00FF0D1301
18:29:17,804;28;FF170D00DD280200
18:29:17,805;29;FF130D10A3FF0100
18:29:17,806;20;000080FF396F1040
18:29:17,812;20;000080FF396F1040
18:29:17,819;0D;0000000000000000
18:29:17,821;20;000080FF396F1040
18:29:17,826;14;00000000E60B2EC0
18:29:17,827;15;ACB9FB3FF26016B7
18:29:17,828;20;000080FF396F1040
18:29:17,834;20;000080FF396F1040
18:29:17,840;20;000080FF396F1040
18:29:17,846;20;000080FF396F1040
18:29:17,852;20;000080FF396F1040
18:29:17,859;20;000080FF396F1040
18:29:17,860;2B;FD7F0D00A0CF0100
18:29:17,861;2A;913FAD4165170200
18:29:17,862;2D;1B00640AFF0D8D00
18:29:17,866;17;3375744100000000
18:29:17,867;20;000080FF396F1040
18:29:17,868;0D;0000000000000000
18:29:17,873;20;000080FF396F1040
18:29:17,879;20;000080FF396F1040
18:29:17,886;20;000080FF396F1040
18:29:17,892;20;000080FE396F1040
18:29:17,899;20;000080FF396F1040
18:29:17,904;2C;FF0DD900FF0D0D01
18:29:17,905;28;FF170D005D250200
18:29:17,906;29;FF130D10A3010200
18:29:17,907;20;000080FF396F1040
18:29:17,913;20;000080FF396F1040
18:29:17,917;0D;0000000000000000
18:29:17,919;20;000080FF396F1040
18:29:17,926;20;000080FF396F1040

18:29:17,932;20;000080FF396F1040
18:29:17,950;20;000080FF396F1040
18:29:17,951;20;000080FF396F1040
18:29:17,953;20;000080FE396F1040
18:29:17,959;20;000080FF396F1040
18:29:17,960;2B;FD7B0D00A0CF0100
18:29:17,961;2A;913FAD41A5170200
18:29:17,962;2D;1B00640AFF0D8D00
18:29:17,966;20;000080FF396F1040
18:29:17,967;0D;0000000000000000
