# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
02:15:06,293;40;9003EB0C02000000
02:15:06,303;40;9003EC0C02000000
02:15:06,313;40;9103EC0C02000000
02:15:06,323;40;9103EE0C02000000
02:15:06,334;40;9103ED0C02000000
02:15:06,343;40;9103F50C02000000
02:15:06,356;40;9103ED0C02000000
02:15:06,366;40;9103ED0C02000000
02:15:06,376;40;9103EB0C02000000
02:15:06,386;40;9103ED0C02000000
02:15:06,396;40;9103ED0C02000000
02:15:06,406;40;9103EA0C02000000
02:15:06,416;40;9203EB0C02000000
02:15:06,426;40;9203EE0C02000000
02:15:06,436;40;9203EB0C02000000
02:15:06,446;40;9203EF0C02000000
02:15:06,453;40;9203EC0C02000000
02:15:06,463;40;9203E90C02000000
02:15:06,473;40;9203E90C02000000
02:15:06,483;40;9203EB0C02000000
02:15:06,493;40;9203E50C02000000
02:15:06,503;40;9203E80C02000000
02:15:06,513;40;9303EA0C02000000
02:15:06,523;40;9303E90C02000000
02:15:06,533;40;9303EB0C02000000
02:15:06,543;40;9303EA0C02000000
02:15:06,556;40;9303F10C02000000
02:15:06,566;40;9303E10C02000000
02:15:06,576;40;9303E80C02000000
02:15:06,585;40;9303E70C02000000
02:15:06,596;40;9303E70C02000000
02:15:06,606;40;9303E90C02000000
02:15:06,616;40;9403EC0C02000000
02:15:06,626;40;9403EC0C02000000
02:15:06,636;40;9403E80C02000000
02:15:06,646;40;9403E60C02000000
02:15:06,653;40;9403E60C02000000
02:15:06,663;40;9403E70C02000000
02:15:06,673;40;9403E60C02000000
02:15:06,683;40;9403E60C02000000
02:15:06,693;40;9403E50C02000000
02:15:06,703;40;9403E40C02000000
02:15:06,713;40;9503E80C02000000
02:15:06,723;40;9503EA0C02000000
02:15:06,733;40;9503E90C02000000
02:15:06,743;40;9503E70C02000000
02:15:06,756;40;9503E20C02000000
02:15:06,766;40;9503E50C02000000
02:15:06,776;40;9503E30C02000000
02:15:06,786;40;9503DD0C02000000
02:15:06,795;40;9503E30C02000000
02:15:06,806;40;9503E20C02000000
02:15:06,816;40;9603DE0C02000000
02:15:06,826;40;9603E00C02000000
02:15:06,835;40;9603E10C02000000
02:15:06,846;40;9603E10C0200000
02:15:06,854;40;9603DF0C02000000

02:15:06,863;40;9603DF0C02000000
02:15:06,889;40;9603D60C02000000
02:15:06,889;40;9603DB0C02000000
02:15:06,893;40;9603DA0C02000000
02:15:06,903;40;9603E10C02000000
02:15:06,913;40;9703DE0C02000000
02:15:06,923;40;9703E00C02000000
02:15:06,933;40;9703D80C02000000
02:15:06,943;40;9703DD0C02000000
02:15:06,956;40;9703D70C02000000
02:15:06,966;40;9703DD0C02000000
02:15:06,976;40;9703DC0C02000000
02:15:06,986;40;9703DB0C02000000
02:15:06,996;40;9703DD0C02000000
02:15:07,006;40;9703DF0C02000000
02:15:07,016;40;9803DD0C02000000
02:15:07,026;40;9803DC0C02000000
02:15:07,036;40;9803DA0C02000000
02:15:07,044;40;9803DC0C02000000
02:15:07,055;40;9803DE0C02000000
02:15:07,063;40;9803DC0C02000000
02:15:07,073;40;9803D50C02000000
02:15:07,084;40;9803DA0C02000000
02:15:07,093;40;9803DE0C02000000
02:15:07,103;40;9803DD0C02000000
02:15:07,113;40;9903DB0C02000000
02:15:07,123;40;9903DB0C02000000
02:15:07,133;40;9903DA0C02000000
02:15:07,143;40;9903DE0C02000000
02:15:07,156;40;9903ED0C02000000
02:15:07,166;40;9903E30C02000000
02:15:07,176;40;9903E20C02000000
02:15:07,186;40;9903D60C02000000
02:15:07,196;40;9903DE0C02000000
02:15:07,206;40;9903D40C02000000
02:15:07,216;40;9A03D00C02000000
02:15:07,226;40;9A03E40C02000000
02:15:07,236;40;9A03DB0C02000000
02:15:07,246;40;9A03D40C02000000
02:15:07,256;40;9A03F10C02000000
02:15:07,263;40;9A03D80C02000000
02:15:07,273;40;9A03D10C02000000
02:15:07,283;40;9A03DC0C02000000
02:15:07,293;40;9A03DC0C02000000
02:15:07,303;40;9A03E00C02000000
02:15:07,313;40;9B03E40C02000000
02:15:07,323;40;9B03E70C02000000
02:15:07,334;40;9B03DB0C02000000
02:15:07,343;40;9B03DC0C02000000
02:15:07,356;40;9B03D20C02000000
02:15:07,366;40;9B03D80C02000000
02:15:07,376;40;9B03DC0C02000000
02:15:07,386;40;9B03D30C02000000
02:15:07,396;40;9B03DE0C02000000
02:15:07,406;40;9B03DE0C02000000
02:15:07,416;40;9C03DB0C02000000
02:15:07,426;40;9C03E20C02000000
02:15:07,436;40;9C03D50C02000000
02:15:07,446;40;9C03E40C02000000
02:15:07,456;40;9C03D90C02000000
02:15:07,463;40;9C03D10C02000000
02:15:07,473;40;9C03D20C02000000
02:15:07,483;40;9C03D20C02000000
02:15:07,493;40;9C03D30C02000000
02:15:07,503;40;9C03D30C02000000
02:15:07,513;40;9D03D10C02000000
02:15:07,523;40;9D03D10C02000000
02:15:07,533;40;9D03D20C02000000
02:15:07,543;40;9D03D10C02000000
02:15:07,553;40;9D03CF0C02000000
02:15:07,566;40;9D03D20C02000000
02:15:07,576;40;9D03D20C02000000
02:15:07,585;40;9D03CF0C02000000
02:15:07,596;40;9D03CE0C02000000
02:15:07,606;40;9D03CD0C02000000
02:15:07,616;40;9E03D20C02000000
02:15:07,626;40;9E03D50C02000000
02:15:07,636;40;9E03D30C02000000
02:15:07,646;40;9E03D20C02000000
02:15:07,656;40;9E03CA0C02000000
02:15:07,663;40;9E03CA0C02000000
02:15:07,673;40;9E03CB0C02000000
02:15:07,683;40;9E03CB0C02000000
02:15:07,693;40;9E03CB0C02000000
02:15:07,703;40;9E03CF0C02000000
02:15:07,713;40;9F03CE0C02000000
02:15:07,723;40;9F03C80C02000000
02:15:07,733;40;9F03C90C02000000
02:15:07,743;40;9F03CC0C02000000
02:15:07,753;40;9F03CD0C02000000
02:15:07,766;40;9F03CB0C02000000
02:15:07,776;40;9F03C90C02000000
02:15:07,786;40;9F03CC0C02000000
02:15:07,795;40;9F03D10C02000000
02:15:07,806;40;9F03CB0C02000000
02:15:07,816;40;A003CC0C02000000
02:15:07,826;40;A003D10C02000000
02:15:07,835;40;A003CB0C02000000
02:15:07,846;40;A003CA0C02000000
02:15:07,856;40;A003CC0C02000000
02:15:07,863;40;A003CC0C02000000
02:15:07,873;40;A003CC0C02000000
